emoji,name,clean_post_text,emotional_scores
😀,grinning face,grin face,"{""Anger"": 0.0, ""Anticipation"": 0.05, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.017857142857142856, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.03225806451612903}"
😃,grinning face with big eyes,grin face big eye,"{""Anger"": 0.0, ""Anticipation"": 0.05, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.017857142857142856, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.03225806451612903}"
😄,grinning face with smiling eyes,grin face smile eye,"{""Anger"": 0.0, ""Anticipation"": 0.05, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.05357142857142857, ""Sadness"": 0.0, ""Surprise"": 0.047619047619047616, ""Trust"": 0.06451612903225806}"
😁,beaming face with smiling eyes,beam face smile eye,"{""Anger"": 0.0, ""Anticipation"": 0.05, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.07142857142857142, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.03225806451612903}"
😆,grinning squinting face,grin squint face,"{""Anger"": 0.0, ""Anticipation"": 0.05, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.017857142857142856, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.03225806451612903}"
😅,grinning face with sweat,grin face sweat,"{""Anger"": 0.0, ""Anticipation"": 0.05, ""Disgust"": 0.0, ""Fear"": 0.05555555555555555, ""Joy"": 0.017857142857142856, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.03225806451612903}"
🤣,rolling on the floor laughing,roll floor laugh,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.03571428571428571, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.0}"
😂,face with tears of joy,face tear joy,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.017857142857142856, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🙂,slightly smiling face,slightly smile face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.03571428571428571, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.03225806451612903}"
🙃,upside-down face,upside face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😉,winking face,wink face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😊,smiling face with smiling eyes,smile face smile eye,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.07142857142857142, ""Sadness"": 0.0, ""Surprise"": 0.047619047619047616, ""Trust"": 0.06451612903225806}"
😇,smiling face with halo,smile face halo,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.03571428571428571, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.03225806451612903}"
🥰,smiling face with hearts,smile face heart,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.03571428571428571, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.03225806451612903}"
😍,smiling face with heart-eyes,smile face heart eye,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.03571428571428571, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.03225806451612903}"
😘,face blowing a kiss,face blowing kiss,"{""Anger"": 0.0, ""Anticipation"": 0.05, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.017857142857142856, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.0}"
😗,kissing face,kiss face,"{""Anger"": 0.0, ""Anticipation"": 0.05, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.017857142857142856, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.0}"
