English (en),Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,clean_name
aback,0,0,0,0,0,0,0,0,aback
abacus,0,0,0,0,0,0,0,1,abacus
abandon,0,0,0,1,0,1,0,0,abandon
abandoned,1,0,0,1,0,1,0,0,abandon
abandonment,1,0,0,1,0,1,1,0,abandonment
abate,0,0,0,0,0,0,0,0,abate
abatement,0,0,0,0,0,0,0,0,abatement
abbot,0,0,0,0,0,0,0,1,abbot
abbreviate,0,0,0,0,0,0,0,0,abbreviate
abbreviation,0,0,0,0,0,0,0,0,abbreviation
abdomen,0,0,0,0,0,0,0,0,abdomen
abdominal,0,0,0,0,0,0,0,0,abdominal
abduction,0,0,0,1,0,1,1,0,abduction
aberrant,0,0,0,0,0,0,0,0,aberrant
aberration,0,0,1,0,0,0,0,0,aberration
abeyance,0,0,0,0,0,0,0,0,abeyance
abhor,1,0,1,1,0,0,0,0,abhor
abhorrent,1,0,1,1,0,0,0,0,abhorrent
abide,0,0,0,0,0,0,0,0,abide
ability,0,0,0,0,0,0,0,0,ability
abject,0,0,1,0,0,0,0,0,abject
ablation,0,0,0,0,0,0,0,0,ablation
ablaze,0,0,0,0,0,0,0,0,ablaze
abnormal,0,0,1,0,0,0,0,0,abnormal
aboard,0,0,0,0,0,0,0,0,aboard
abode,0,0,0,0,0,0,0,0,abode
abolish,1,0,0,0,0,0,0,0,abolish
abolition,0,0,0,0,0,0,0,0,abolition
abominable,0,0,1,1,0,0,0,0,abominable
abomination,1,0,1,1,0,0,0,0,abomination
aboriginal,0,0,0,0,0,0,0,0,aboriginal
abort,0,0,0,0,0,0,0,0,abort
abortion,0,0,1,1,0,1,0,0,abortion
abortive,0,0,0,0,0,1,0,0,abortive
abound,0,0,0,0,0,0,0,0,abound
abrasion,0,0,0,0,0,0,0,0,abrasion
abroad,0,0,0,0,0,0,0,0,abroad
abrogate,0,0,0,0,0,0,0,0,abrogate
abrupt,0,0,0,0,0,0,1,0,abrupt
abruptly,0,0,0,0,0,0,0,0,abruptly
abscess,0,0,0,0,0,1,0,0,abscess
absence,0,0,0,1,0,1,0,0,absence
absent,0,0,0,0,0,1,0,0,absent
absentee,0,0,0,0,0,1,0,0,absentee
absenteeism,0,0,0,0,0,0,0,0,absenteeism
absinthe,0,0,0,0,0,0,0,0,absinthe
absolute,0,0,0,0,0,0,0,0,absolute
absolution,0,0,0,0,1,0,0,1,absolution
absorbed,0,0,0,0,0,0,0,0,absorbed
absorbent,0,0,0,0,0,0,0,0,absorbent
absorbing,0,0,0,0,0,0,0,0,absorb
absorption,0,0,0,0,0,0,0,0,absorption
abstain,0,0,0,0,0,0,0,0,abstain
abstention,0,0,0,0,0,0,0,0,abstention
abstinence,0,0,0,0,0,0,0,0,abstinence
abstract,0,0,0,0,0,0,0,0,abstract
abstraction,0,0,0,0,0,0,0,0,abstraction
absurd,0,0,0,0,0,0,0,0,absurd
absurdity,0,0,0,0,0,0,0,0,absurdity
abundance,0,1,1,0,1,0,0,1,abundance
abundant,0,0,0,0,1,0,0,0,abundant
abuse,1,0,1,1,0,1,0,0,abuse
abutment,0,0,0,0,0,0,0,0,abutment
aby,0,0,0,0,0,0,0,0,aby
abysmal,0,0,0,0,0,1,0,0,abysmal
abyss,0,0,0,1,0,1,0,0,abyss
academic,0,0,0,0,0,0,0,1,academic
academy,0,0,0,0,0,0,0,0,academy
accede,0,0,0,0,0,0,0,0,accede
accelerate,0,1,0,0,0,0,0,0,accelerate
acceleration,0,0,0,0,0,0,0,0,acceleration
accent,0,0,0,0,0,0,0,0,accent
accentuate,0,0,0,0,0,0,0,0,accentuate
accept,0,0,0,0,0,0,0,0,accept
acceptable,0,0,0,0,0,0,0,0,acceptable
acceptance,0,0,0,0,0,0,0,0,acceptance
access,0,0,0,0,0,0,0,0,access
accessible,0,0,0,0,0,0,0,0,accessible
accession,0,0,0,0,0,0,0,0,accession
accessory,0,0,0,0,0,0,0,0,accessory
accident,0,0,0,1,0,1,1,0,accident
accidental,0,0,0,1,0,0,1,0,accidental
accidentally,0,0,0,0,0,0,1,0,accidentally
accolade,0,1,0,0,1,0,1,1,accolade
accommodate,0,0,0,0,0,0,0,0,accommodate
accommodation,0,0,0,0,0,0,0,0,accommodation
accompaniment,0,1,0,0,1,0,0,1,accompaniment
accompany,0,0,0,0,0,0,0,0,accompany
accompanying,0,0,0,0,0,0,0,0,accompany
accomplice,0,0,0,0,0,0,0,0,accomplice
accomplish,0,0,0,0,1,0,0,0,accomplish
accomplished,0,0,0,0,1,0,0,0,accomplish
accomplishment,0,0,0,0,0,0,0,0,accomplishment
accord,0,0,0,0,0,0,0,1,accord
accordance,0,0,0,0,0,0,0,0,accordance
accordion,0,0,0,0,0,0,0,0,accordion
account,0,0,0,0,0,0,0,1,account
accountability,0,0,0,0,0,0,0,1,accountability
accountable,0,0,0,0,0,0,0,1,accountable
accountant,0,0,0,0,0,0,0,1,accountant
accounting,0,0,0,0,0,0,0,0,accounting
accounts,0,0,0,0,0,0,0,1,account
accredited,0,0,0,0,0,0,0,1,accredit
accretion,0,0,0,0,0,0,0,0,accretion
accrue,0,0,0,0,0,0,0,0,accrue
accumulate,0,0,0,0,0,0,0,0,accumulate
accumulation,0,0,0,0,0,0,0,0,accumulation
accuracy,0,0,0,0,0,0,0,0,accuracy
accurate,0,0,0,0,0,0,0,1,accurate
accursed,1,0,0,1,0,1,0,0,accurse
accusation,1,0,1,0,0,0,0,0,accusation
accusative,0,0,0,0,0,0,0,0,accusative
accused,1,0,0,1,0,0,0,0,accuse
accuser,1,0,0,1,0,0,0,0,accuser
accusing,1,0,0,1,0,0,0,0,accuse
accustomed,0,0,0,0,0,0,0,0,accustom
ace,0,0,0,0,0,0,0,0,ace
acetic,0,0,0,0,0,0,0,0,acetic
ache,0,0,0,0,0,1,0,0,ache
achieve,0,0,0,0,1,0,0,1,achieve
achievement,0,1,0,0,1,0,0,1,achievement
aching,0,0,0,0,0,1,0,0,ache
acid,0,0,0,0,0,0,0,0,acid
